0000;Nyilvántartási számlák;Holding accounts
1111;Alapítás, átszervezés aktivált értéke bruttó értéke;Capitalized value of formation / reorganization expenses (gross value)
1118;Alapítás, átszervezés aktivált értéke terven felüli értékcsökkenése;Extraordinary depreciation of capitalized value of formation / reorganization expenses
1119;Alapítás-átszervezés aktivált értékének terv szerinti értékcsökkenése;Ordinary depreciation of capitalized value of formation / reorganization expenses
1121;Kisérleti fejlesztés aktivált értéke bruttó értéke;Capitalized value of research and development (gross value)
1128;Kisérleti fejlesztés aktivált értéke terven felüli értékcsökkenése és visszaírása;Extraordinary depreciation of capitalized value of research and development  and written back
1129;Kisérleti fejlesztés aktivált értéke terv szerinti értékcsökkenés;Ordinary depreciation of capitalized value of research and development 
1131;Vagyoni értékű jogok bruttó értéke;Concessions, licenses and similar rights (gross value)
1137;Vagyoni értékű jogok értékhelyesbítés;Value correction of concessions, licenses and similar rights  
1138;Vagyoni értékű jogok terven felüli értékcsökkenése és visszaírása;Extraordinary depreciation of concessions, licenses and similar rights and written back  
1139;Vagyoni értékű jogok terv szerinti értékcsökkenése;Ordinary depreciation of concessions, licenses and similar rights  
1141;Szellemi termékek bruttó értéke;Trade-marks, patents, similar assets (gross value)
1147;Szellemi termékek értékhelyesbítése;Value correction of trade-marks, patents, similar assets  
1148;Szellemi termékek terven felüli értékcsökkenése és visszaírása;Extraordinary depreciation of trade-marks, patents, similar assets   and written back
1149;Szellemi termékek terv szerinti értékcsökkenés;Ordinary depreciation of trade-marks, patents, similar assets  
1151;Üzleti, vagy cégérték bruttó értéke;Goodwill (gross value)
1158;Üzleti, vagy cégérték terven felüli értékcsökkenése és visszaírása;Extraordinary depreciation of goodwill  and written back 
1159;Üzleti, vagy cégérték terv szerinti értékcsökkenése;Ordinary depreciation of goodwill 
1161;Feltárási és felmérési immateriális eszközök (IFRS 6);Exploration and evaluation intangible assets (IFRS 6)
1165;Feltárási és felmérési immateriális eszközök (IFRS 6) értékvesztése;Loss in value of exploration and evaluation intangible assets (IFRS 6)
1168;Feltárási és felmérési immateriális eszközök (IFRS 6) terven felüli értékcsökkenése és visszaírása;Extraordinary depreciation of exploration and evaluation intangible assets  and written back
1169;Feltárási és felmérési immateriális eszközök (IFRS 6) terv szerinti értékcsökkenése;Ordinary depreciation of exploration and evaluation intangible assets 
1171;Használatijog-eszköz (IFRS 16) imamteriális javak;Right-of use asset (IFRS) intangible assets
1175;Használatijog-eszköz (IFRS 16) imamteriális javak  értékvesztése és visszaírása;Loss in value of  intangible assets and written back 
1179;Használatijog- eszköz (IFRS 16) imamteriális javak értékcsökkenése;Ordinary depreciation of right-of use asset (IFRS)  intangible assets
1211;Földterület bruttó értéke;Land (gross value)
1217;Földterület értékhelyesbítés;Value correction of land
1218;Földterület terven felüli értékcsökkenés és visszaírása;Extraordinary depreciation of land and written back 
1219;Földterület terv szerinti értékcskökkenés;Ordinary depreciation of land
1221;Telek, telkesítés bruttó értéke;Building plots (gross value)
1227;Telek, telkesítés értékhelyesbítése;Value correction of building plots 
1228;Telek, telkesítés terven felüli értékcsökkenése és visszaírása;Extraordinary depreciation of building plots and written back 
1229;Telek, telkesítés terv szerinti értékcsökkenése;Ordinary depreciation of building plots 
1231;Épületek, épületrészek, tulajdoni hányadok ;Buidlings, parts of buildings, share of property  (gross value)
